Daily_Return,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Histogram,Momentum_10,Rolling_Volatility_20
0.0028426803,0.0010497135,0.001879882,-0.0017914864,-0.0017538546,0.00090469857,0.00012429048,0.00029891997
0.0019446849,-0.0007677991,0.0051916926,-0.0004731173,-0.0009536609,0.0022302202,-0.0010534107,-0.00087792677
0.002053251,-0.0026309714,0.010571601,0.0012223419,-0.00047351304,0.0021376167,0.002474674,0.0005818894
0.0011409083,-0.0016020047,0.008881214,3.076894e-05,-0.0004883849,-0.0029264495,0.0010873436,0.00032073038
-0.003584033,0.0019058759,0.0018467442,0.00089275173,-0.003978904,-0.0015356998,0.0013769803,0.0013348114
0.0030989281,0.0011448051,0.00072569103,8.88708e-05,0.0011913675,0.0007982073,0.0010090462,-0.00020532933
0.002715674,0.0025699928,-0.0009797957,0.00037507585,0.0016601231,-0.0006745654,0.0007010787,-0.00060665846
-0.00028772207,0.0019013867,0.00069361646,-0.0016218411,0.00081070635,-0.003041939,0.00095031236,-0.0001088073
0.0008482158,0.0018977011,-0.0010840184,-0.0006841941,0.0018945409,-0.0006291352,0.00081975106,0.0014738619
0.00079818524,0.001999317,0.001169646,-0.0015950823,0.0011782954,-0.0020097569,0.00081228395,-0.00024259413
0.00032352743,0.002293186,0.0014912533,-0.00065838214,0.0021087255,-0.0014128084,0.0012606925,0.00051092095
-0.0007655069,0.0009451994,0.0012350115,-0.00025668475,0.0016238706,-0.0015136114,0.00015301471,-0.00017742574
0.0002582735,0.0013560503,-0.00010004923,-0.0004895995,0.0016718003,0.002914609,0.0006194408,0.00056972855
0.0012766353,-0.001014,-0.0013372076,-0.00044667383,0.0009281517,0.00037683352,-0.0011591578,0.00043045759
-0.00025031265,-0.00017818724,-0.001038869,9.099254e-05,0.0011008462,-0.0024067431,0.0002478076,0.00030667166
5.6689216e-05,-0.00010464098,-0.00040042016,-0.00075691065,0.0010447551,-0.0017529675,-0.00019357324,0.00030435692
0.00033866227,-0.00013297732,-0.00053972675,-0.0011174078,0.0012248576,-0.001748787,-0.00027603735,0.00076691457
-9.82245e-05,0.0008201311,-4.8205743e-06,-0.0012357517,0.0010894423,-0.0007761093,0.00045410567,0.00067431765
-0.00014650138,0.00047543013,-0.00015494246,-0.001255846,0.001349839,0.00047108726,-0.0005118915,0.00095683575
-0.0023123792,-4.6710657e-06,1.4786822e-05,-0.0012809196,-9.154892e-05,0.001300827,3.4385175e-05,0.00049280835
-0.0022612729,0.0021325178,0.0027522477,-0.0012916221,0.0007612568,0.001100557,0.0020331428,-0.00017025594
-3.0355593e-05,0.0019911306,0.0005044947,-0.00056754804,0.0022441624,-0.0017700584,0.0013831457,0.0017899607
0.0014506378,0.0019754788,-0.00049699453,-0.00015879692,0.0017693475,-8.4728e-05,0.0011117986,0.0010408013
0.00026283882,0.001616336,-0.00067346235,-0.0001814789,0.0015722296,-0.0015231102,0.0006770778,-0.00043183618
